time_iso8601,stars_cumulative
2021-12-14 00:00:00+00:00,204
2021-12-15 00:00:00+00:00,205
2021-12-30 00:00:00+00:00,206
2022-01-04 00:00:00+00:00,207
2022-01-07 00:00:00+00:00,208
2022-01-30 00:00:00+00:00,209
2022-02-08 00:00:00+00:00,210
2022-02-11 00:00:00+00:00,212
2022-02-12 00:00:00+00:00,213
2022-02-15 00:00:00+00:00,214
2022-02-17 00:00:00+00:00,215
2022-02-22 00:00:00+00:00,216
2022-02-23 00:00:00+00:00,217
2022-03-05 00:00:00+00:00,218
2022-03-06 00:00:00+00:00,219
2022-03-11 00:00:00+00:00,222
2022-03-24 00:00:00+00:00,223
2022-04-03 00:00:00+00:00,224
2022-04-09 00:00:00+00:00,226
2022-04-10 00:00:00+00:00,229
